"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2006","55","55000","Wisconsin","5,401,380","589,377","576,481","602,273","576,481 to 602,273","10.9","10.7","11.2","10.7 to 11.2","1,289,038","189,676","182,560","196,791","182,560 to 196,791","14.7","14.2","15.3","14.2 to 15.3","935,743","122,598","116,257","128,939","116,257 to 128,939","13.1","12.4","13.8","12.4 to 13.8","344,180","59,266","55,924","62,608","55,924 to 62,608","17.2","16.2","18.2","16.2 to 18.2","$48,784","$48,357","$49,210","$48,357 to $49,210"
"2005","55","55000","Wisconsin","5,355,151","547,648","535,963","559,333","535,963 to 559,333","10.2","10.0","10.4","10.0 to 10.4","1,269,852","177,768","170,771","184,766","170,771 to 184,766","14.0","13.4","14.6","13.4 to 14.6","928,289","114,754","108,850","120,658","108,850 to 120,658","12.4","11.7","13.0","11.7 to 13.0","335,080","57,071","53,541","60,602","53,541 to 60,602","17.0","16.0","18.1","16.0 to 18.1","$47,141","$46,758","$47,525","$46,758 to $47,525"
"2004","55","55000","Wisconsin","5,429,778","590,365","541,846","638,884","541,846 to 638,884","10.9","10.0","11.8","10.0 to 11.8","1,292,439","192,154","167,546","216,762","167,546 to 216,762","14.9","13.0","16.8","13.0 to 16.8","927,424","126,498","104,582","148,414","104,582 to 148,414","13.6","11.3","16.0","11.3 to 16.0","337,081","56,242","46,789","65,696","46,789 to 65,696","16.7","13.9","19.5","13.9 to 19.5","$46,142","$44,680","$47,603","$44,680 to $47,603"
"2003","55","55000","Wisconsin","5,398,625","482,817","448,094","517,539","448,094 to 517,539","8.9","8.3","9.6","8.3 to 9.6","1,301,342","160,940","143,303","178,577","143,303 to 178,577","12.4","11.0","13.7","11.0 to 13.7","939,783","96,223","82,501","109,945","82,501 to 109,945","10.2","8.8","11.7","8.8 to 11.7","332,780","57,056","46,501","67,612","46,501 to 67,612","17.1","14.0","20.3","14.0 to 20.3","$46,538","$45,103","$47,972","$45,103 to $47,972"
"2002","55","55000","Wisconsin","5,372,665","455,846","420,954","490,738","420,954 to 490,738","8.5","7.8","9.1","7.8 to 9.1","1,325,232","144,428","126,885","161,971","126,885 to 161,971","10.9","9.6","12.2","9.6 to 12.2","955,790","96,739","81,881","111,597","81,881 to 111,597","10.1","8.6","11.7","8.6 to 11.7","336,962","41,389","32,488","50,290","32,488 to 50,290","12.3","9.6","14.9","9.6 to 14.9","$45,377","$43,639","$47,116","$43,639 to $47,116"
"2001","55","55000","Wisconsin","5,319,624","429,673","398,539","460,807","398,539 to 460,807","8.1","7.5","8.7","7.5 to 8.7","1,321,987","147,145","126,399","167,892","126,399 to 167,892","11.1","9.6","12.7","9.6 to 12.7","971,383","97,425","79,094","115,756","79,094 to 115,756","10.0","8.1","11.9","8.1 to 11.9","330,246","40,347","32,778","47,915","32,778 to 47,915","12.2","9.9","14.5","9.9 to 14.5","$45,435","$43,979","$46,891","$43,979 to $46,891"
"2000","55","55000","Wisconsin","5,288,965","430,657","397,930","463,384","397,930 to 463,384","8.1","7.5","8.8","7.5 to 8.8","1,334,976","147,285","129,096","165,474","129,096 to 165,474","11.0","9.7","12.4","9.7 to 12.4","974,217","92,708","76,723","108,693","76,723 to 108,693","9.5","7.9","11.2","7.9 to 11.2","335,881","46,805","38,351","55,260","38,351 to 55,260","13.9","11.4","16.5","11.4 to 16.5","$44,503","$42,693","$46,313","$42,693 to $46,313"
"2012","56","56000","Wyoming","561,478","66,879","63,185","70,573","63,185 to 70,573","11.9","11.2","12.6","11.2 to 12.6","131,719","20,306","18,679","21,933","18,679 to 21,933","15.4","14.2","16.6","14.2 to 16.6","93,549","12,857","11,439","14,275","11,439 to 14,275","13.7","12.2","15.2","12.2 to 15.2","37,653","6,746","5,960","7,532","5,960 to 7,532","17.9","15.8","20.0","15.8 to 20.0","$55,104","$53,854","$56,354","$53,854 to $56,354"
"2011","56","56000","Wyoming","554,317","62,801","59,474","66,128","59,474 to 66,128","11.3","10.7","11.9","10.7 to 11.9","132,277","20,502","18,953","22,051","18,953 to 22,051","15.5","14.3","16.7","14.3 to 16.7","92,809","12,405","11,134","13,676","11,134 to 13,676","13.4","12.0","14.8","12.0 to 14.8","38,799","7,409","6,496","8,322","6,496 to 8,322","19.1","16.7","21.5","16.7 to 21.5","$56,044","$54,596","$57,492","$54,596 to $57,492"
"2010","56","56000","Wyoming","551,132","62,636","59,142","66,130","59,142 to 66,130","11.4","10.8","12.0","10.8 to 12.0","133,251","19,861","18,160","21,562","18,160 to 21,562","14.9","13.6","16.2","13.6 to 16.2","93,221","11,942","10,517","13,367","10,517 to 13,367","12.8","11.3","14.3","11.3 to 14.3","39,771","7,389","6,482","8,296","6,482 to 8,296","18.6","16.3","20.9","16.3 to 20.9","$53,757","$52,440","$55,074","$52,440 to $55,074"
"2009","56","56000","Wyoming","529,948","53,974","50,808","57,140","50,808 to 57,140","10.2","9.6","10.8","9.6 to 10.8","130,004","17,176","15,550","18,801","15,550 to 18,801","13.2","12.0","14.5","12.0 to 14.5","89,127","9,953","8,668","11,238","8,668 to 11,238","11.2","9.7","12.6","9.7 to 12.6","39,946","6,399","5,466","7,331","5,466 to 7,331","16.0","13.7","18.4","13.7 to 18.4","$54,400","$52,985","$55,814","$52,985 to $55,814"
